id;title;length;year;reals;actors;genres;boxoffice
1686;Chute libre;113;1993;"Joel Schumacher
";Michael Douglas, Robert Duvall, Barbara Hershey;Crime, Drame, Thriller;
1687;Destination finale;98;2000;"James Wong
";Devon Sawa, Ali Larter, Kerr Smith;Horreur, Thriller;
1688;Jeux de pouvoir;127;2009;"Kevin Macdonald
";Russell Crowe, Rachel McAdams, Ben Affleck;Drame, MystÃ¨re;
1689;La conquÃªte de l'Ouest;164;1962;"John Ford
, Henry Hathaway
, George Marshall
, Richard Thorpe
";James Stewart, John Wayne, Gregory Peck;Aventure, Western;
1690;Au-delÃ ;129;2010;"Clint Eastwood
";Matt Damon, CÃ©cile De France, Bryce Dallas Howard;Drame, Fantastique;
1691;Just Friends;96;2005;"Roger Kumble
";Ryan Reynolds, Amy Smart, Anna Faris;Comedie, Romantique;
1692;Belles Ã  mourir;97;1999;"Michael Patrick Jann
";Kirsten Dunst, Denise Richards, Ellen Barkin;Comedie;
1693;Dreamcatcher, l'attrape-rÃªves;136;2003;"Lawrence Kasdan
";Morgan Freeman, Thomas Jane, Jason Lee;Drame, Horreur, Science-Fiction;
1694;Robin des bois;83;1973;"Wolfgang Reitherman
";Brian Bedford, Phil Harris, Roger Miller;Animation, Aventure, Comedie;
1695;Apparences;130;2000;"Robert Zemeckis
";Harrison Ford, Michelle Pfeiffer, Katharine Towne;Drame, Horreur, MystÃ¨re;
1696;Il Ã©tait une fois le Bronx;121;1993;"Robert De Niro
";Robert De Niro, Chazz Palminteri, Lillo Brancato;Crime, Drame;
1697;Sexy Beast;89;2000;"Jonathan Glazer
";Ray Winstone, Ben Kingsley, Ian McShane;Crime, Drame;
1698;Flyboys;140;2006;"Tony Bill
";James Franco, Jean Reno, Jennifer Decker;Action, Aventure, Drame;
1699;La tour infernale;165;1974;"John Guillermin
";Paul Newman, Steve McQueen, William Holden;Action;
1700;Kon-Tiki;118;2012;"Joachim RÃ¸nning
, Espen Sandberg
";PÃ¥l Sverre Hagen, Anders Baasmo Christiansen, Gustaf SkarsgÃ¥rd;Aventure, Historique;
1701;Casanova;112;2005;"Lasse HallstrÃ¶m
";Heath Ledger, Sienna Miller, Jeremy Irons;Aventure, Comedie, Drame;
1702;Les portes du temps;99;2007;"David L. Cunningham
";Alexander Ludwig, Ian McShane, Christopher Eccleston;Aventure, Drame, Fantastique;
1703;Cellular;94;2004;"David R. Ellis
";Kim Basinger, Chris Evans, Jason Statham;Action, Crime, Drame;
1704;FenÃªtre secrÃ¨te;96;2004;"David Koepp
";Johnny Depp, Maria Bello, John Turturro;MystÃ¨re, Thriller;
1705;Liaison fatale;119;1987;"Adrian Lyne
";Michael Douglas, Glenn Close, Anne Archer;Drame, Thriller;
1706;Psycho;105;1998;"Gus Van Sant
";Vince Vaughn, Anne Heche, Julianne Moore;Horreur, MystÃ¨re, Thriller;
1707;La nuit nous appartient;117;2007;"James Gray
";Joaquin Phoenix, Mark Wahlberg, Eva Mendes;Crime, Drame, Thriller;
1708;13 fantÃ´mes;91;2001;"Steve Beck
";Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz;Horreur, MystÃ¨re, Thriller;
1709;Recherche bad boys dÃ©sespÃ©rÃ©ment;91;2012;"Julie Anne Robinson
";Katherine Heigl, Jason O'Mara, Daniel Sunjata;Action, Comedie, Crime;
1710;Mon babysitter;95;2009;"Bart Freundlich
";Catherine Zeta-Jones, Justin Bartha, Art Garfunkel;Comedie, Romantique;
1711;TÃªte brÃ»lÃ©e;91;1996;"Wes Anderson
";Luke Wilson, Owen Wilson, Ned Dowd;Comedie, Crime, Drame;
1712;Flashdance;95;1983;"Adrian Lyne
";Jennifer Beals, Michael Nouri, Lilia Skala;Drame, Romantique, Music;
1713;La couleur pourpre;154;1985;"Steven Spielberg
";Danny Glover, Whoopi Goldberg, Oprah Winfrey;Drame;
1714;Beginners;105;2010;"Mike Mills
";Ewan McGregor, Christopher Plummer, MÃ©lanie Laurent;Comedie, Drame, Romantique;
1715;M-I:2 Mission: Impossible 2;123;2000;"John Woo
";Tom Cruise, Dougray Scott, Thandie Newton;Action, Aventure, Thriller;
1716;Kill the Gringo;96;2012;"Adrian Grunberg
";Mel Gibson, Kevin Hernandez, Daniel GimÃ©nez Cacho;Action, Crime, Drame;
1717;Conan le destructeur;103;1984;"Richard Fleischer
";Arnold Schwarzenegger, Grace Jones, Olivia d'Abo;Action, Aventure, Fantastique;
1718;Desperado;104;1995;"Robert Rodriguez
";Antonio Banderas, Salma Hayek, Joaquim de Almeida;Action, Crime, Thriller;
1719;"Imagine Me &amp; You";94;2005;"Ol Parker
";Piper Perabo, Lena Headey, Matthew Goode;Comedie, Drame, Romantique;
1720;Toy boy;97;2009;"David Mackenzie
";Ashton Kutcher, Anne Heche, Margarita Levieva;Comedie, Drame, Romantique;
1721;Le jour oÃ¹ je l'ai rencontrÃ©e;83;2011;"Gavin Wiesen
";Freddie Highmore, Emma Roberts, Michael Angarano;Drame, Romantique;
1722;4 mariages et 1 enterrement;117;1994;"Mike Newell
";Hugh Grant, Andie MacDowell, James Fleet;Comedie, Drame, Romantique;
1723;Joe La Crasse;91;2001;"Dennie Gordon
";David Spade, Brittany Daniel, Dennis Miller;Aventure, Comedie, Drame;
1724;Baby-sittor;95;2005;"Adam Shankman
";Vin Diesel, Brittany Snow, Max Thieriot;Action, Comedie, Drame;
1725;Le fugitif;130;1993;"Andrew Davis
";Harrison Ford, Tommy Lee Jones, Sela Ward;Action, Aventure, Crime;
1726;This Is England;101;2006;"Shane Meadows
";Thomas Turgoose, Stephen Graham, Jo Hartley;Crime, Drame;
1727;Next Friday;98;2000;"Steve Carr
";Ice Cube, Mike Epps, Justin Pierce;Comedie;
1728;Carnage;80;2011;"Roman Polanski
";Jodie Foster, Kate Winslet, Christoph Waltz;Comedie, Drame;
1729;Extravagances;109;1995;"Beeban Kidron
";Wesley Snipes, Patrick Swayze, John Leguizamo;Comedie;
1730;Wedding singer - Demain on se marie!;95;1998;"Frank Coraci
";Adam Sandler, Drew Barrymore, Christine Taylor;Comedie, Romantique;
1731;Hackers;107;1995;"Iain Softley
";Jonny Lee Miller, Angelina Jolie, Jesse Bradford;Action, Crime, Drame;
1732;Butch Cassidy et le Kid;110;1969;"George Roy Hill
";Paul Newman, Robert Redford, Katharine Ross;Aventure, Biopic, Crime;
1733;Coup de foudre Ã  Rhode Island;98;2007;"Peter Hedges
";Steve Carell, Juliette Binoche, Dane Cook;Comedie, Drame, Romantique;
1734;Love Coach;105;2012;"Gabriele Muccino
";Gerard Butler, Jessica Biel, Dennis Quaid;Comedie, Romantique, Sport;
1735;L'enfer du dimanche;162;1999;"Oliver Stone
";Al Pacino, Dennis Quaid, Cameron Diaz;Drame, Sport;
1736;What Maisie Knew;99;2012;"Scott McGehee
, David Siegel
";Julianne Moore, Alexander SkarsgÃ¥rd, Steve Coogan;Drame;
1737;My Fair Lady;170;1964;"George Cukor
";Audrey Hepburn, Rex Harrison, Stanley Holloway;Drame, Familliale, Musical;
1738;Ã‰crire pour exister;123;2007;"Richard LaGravenese
";Hilary Swank, Imelda Staunton, Patrick Dempsey;Biopic, Crime, Drame;
1739;FantÃ´mes contre fantÃ´mes;110;1996;"Peter Jackson
";Michael J. Fox, Trini Alvarado, Peter Dobson;Comedie, Horreur;
1740;Les Simpson: le film;87;2007;"David Silverman
";Dan Castellaneta, Julie Kavner, Nancy Cartwright;Animation, Aventure, Comedie;
1741;American pie: marions-les!;96;2003;"Jesse Dylan
";Jason Biggs, Alyson Hannigan, Seann William Scott;Comedie, Romantique;
1742;Newsies - The News Boys;121;1992;"Kenny Ortega
";Christian Bale, Bill Pullman, Robert Duvall;Drame, Musical;
1743;Troupe d'Ã©lite - L'ennemi intÃ©rieur;115;2010;"JosÃ© Padilha
";Wagner Moura, Irandhir Santos, AndrÃ© Ramiro;Action, Crime, Drame;
1744;Lara Croft Tomb Raider: Le berceau de la vie;117;2003;"Jan de Bont
";Angelina Jolie, Gerard Butler, Chris Barrie;Action, Aventure, Fantastique;
1745;Bully;115;2001;"Larry Clark
";Brad Renfro, Nick Stahl, Bijou Phillips;Crime, Drame, Thriller;
1746;Beerfest;110;2006;"Jay Chandrasekhar
";Jay Chandrasekhar, Kevin Heffernan, Steve Lemme;Comedie;
1747;Jawbreaker;87;1999;"Darren Stein
";Rose McGowan, Rebecca Gayheart, Julie Benz;Comedie, Crime, Thriller;
1748;Glengarry;100;1992;"James Foley
";Al Pacino, Jack Lemmon, Alec Baldwin;Drame;
1749;Des souris et des hommes;115;1992;"Gary Sinise
";John Malkovich, Gary Sinise, Ray Walston;Drame;
1750;Norbit;102;2007;"Brian Robbins
";Eddie Murphy, Thandie Newton, Terry Crews;Comedie, Romantique;
1751;La famille Pierrafeu;91;1994;"Brian Levant
";John Goodman, Rick Moranis, Rosie O'Donnell;Comedie, Familliale, Fantastique;
1752;Freddy contre Jason;97;2003;"Ronny Yu
";Robert Englund, Ken Kirzinger, Kelly Rowland;Horreur, Thriller;
1753;En territoire ennemi;106;2001;"John Moore
";Gene Hackman, Owen Wilson, Gabriel Macht;Action, Guerre, Drame;
1754;Last Night;93;2010;"Massy Tadjedin
";Keira Knightley, Sam Worthington, Eva Mendes;Drame, Romantique;
1755;Next;96;2007;"Lee Tamahori
";Nicolas Cage, Julianne Moore, Jessica Biel;Action, Science-Fiction, Thriller;
1756;Ponyo sur la falaise;101;2008;"Hayao Miyazaki
";Cate Blanchett, Matt Damon, Liam Neeson;Animation, Aventure, Familliale;
1757;A Scanner Darkly;100;2006;"Richard Linklater
";Keanu Reeves, Winona Ryder, Robert Downey Jr.;Animation, Drame, Science-Fiction;
1758;Monstres contre Aliens;94;2009;"Rob Letterman
, Conrad Vernon
";Reese Witherspoon, Rainn Wilson, Stephen Colbert;Animation, Action, Aventure;
1759;Young Guns;107;1988;"Christopher Cain
";Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips;Action, Crime, Drame;
1760;Bee Movie - DrÃ´le d'abeille;91;2007;"Steve Hickner
, Simon J. Smith
";Jerry Seinfeld, RenÃ©e Zellweger, Matthew Broderick;Animation, Aventure, Comedie;
1761;Un aprÃ¨s-midi de chien;125;1975;"Sidney Lumet
";Al Pacino, John Cazale, Penelope Allen;Crime, Drame;
1762;Wolfman;103;2010;"Joe Johnston
";Benicio Del Toro, Anthony Hopkins, Emily Blunt;Drame, Horreur, Thriller;
1763;Punch-drunk love - Ivre d'amour;95;2002;"Paul Thomas Anderson
";Adam Sandler, Emily Watson, Philip Seymour Hoffman;Comedie, Drame, Romantique;
1764;Les aristochats;78;1970;"Wolfgang Reitherman
";Phil Harris, Eva Gabor, Sterling Holloway;Animation, Aventure, Comedie;
1765;Comment savoir;121;2010;"James L. Brooks
";Reese Witherspoon, Paul Rudd, Owen Wilson;Comedie, Drame, Romantique;
1766;Alice au pays des merveilles;75;1951;"Clyde Geronimi
, Wilfred Jackson
, Hamilton Luske
";Kathryn Beaumont, Ed Wynn, Richard Haydn;Animation, Aventure, Familliale;
1767;K-PAX - L'homme qui vient de loin;120;2001;"Iain Softley
";Kevin Spacey, Jeff Bridges, Mary McCormack;Drame, Science-Fiction;
1768;Meurtres Ã  la Saint-Valentin;101;2009;"Patrick Lussier
";Jensen Ackles, Jaime King, Kerr Smith;Horreur, MystÃ¨re, Thriller;
1769;Bienvenue dans la jungle;104;2003;"Peter Berg
";Dwayne Johnson, Seann William Scott, Christopher Walken;Action, Aventure, Comedie;
1770;L'Ã®le oubliÃ©e;90;1990;"Harry Hook
";Balthazar Getty, Chris Furrh, Danuel Pipoly;Aventure, Drame, Thriller;
1771;Goldfinger;110;1964;"Guy Hamilton
";Sean Connery, Gert FrÃ¶be, Honor Blackman;Action, Aventure, Crime;
1772;Les sorciÃ¨res;91;1990;"Nicolas Roeg
";Anjelica Huston, Mai Zetterling, Jasen Fisher;Fantastique, Familliale, Horreur;
1773;Super HÃ©ros Movie;75;2008;"Craig Mazin
";Drake Bell, Leslie Nielsen, Sara Paxton;Action, Comedie, Science-Fiction;
1774;Sunshine Cleaning;91;2008;"Christine Jeffs
";Amy Adams, Emily Blunt, Alan Arkin;Comedie, Drame;
1775;Un monde meilleur;123;2000;"Mimi Leder
";Kevin Spacey, Haley Joel Osment, Helen Hunt;Drame;
1776;Once;85;2006;"John Carney
";Glen Hansard, MarkÃ©ta IrglovÃ¡, Hugh Walsh;Drame, Music, Romantique;
1777;Road House;114;1989;"Rowdy Herrington
";Patrick Swayze, Kelly Lynch, Sam Elliott;Action, Thriller;
1778;Braquage Ã  l'anglaise;111;2008;"Roger Donaldson
";Jason Statham, Saffron Burrows, Stephen Campbell Moore;Crime, Drame, Thriller;
1779;Souviens-toi... l'Ã©tÃ© dernier;100;1997;"Jim Gillespie
";Jennifer Love Hewitt, Sarah Michelle Gellar, Anne Heche;Horreur, MystÃ¨re, Thriller;
1780;Oz, un monde extraordinaire;113;1985;"Walter Murch
";Fairuza Balk, Nicol Williamson, Jean Marsh;Aventure, Familliale, Fantastique;
1781;13 assassins;141;2010;"Takashi Miike
";KÃ´ji Yakusho, Takayuki Yamada, YÃ»suke Iseya;Action, Aventure, Drame;
1782;Anonymous;130;2011;"Roland Emmerich
";Rhys Ifans, Vanessa Redgrave, David Thewlis;Drame, Historique, Thriller;
1783;Canine;94;2009;"Giorgos Lanthimos
";Christos Stergioglou, Michele Valley, Aggeliki Papoulia;Drame;
1784;Rachel se marie;113;2008;"Jonathan Demme
";Anne Hathaway, Rosemarie DeWitt, Debra Winger;Drame, Romantique;
1785;Les Pirates! Bons Ã  rien, mauvais en tout;88;2012;"Peter Lord
, Jeff Newitt
";Hugh Grant, Salma Hayek, Jeremy Piven;Animation, Aventure, Comedie;
1786;Do the Right Thing;120;1989;"Spike Lee
";Danny Aiello, Ossie Davis, Ruby Dee;Drame;
1787;Stuart Little;84;1999;"Rob Minkoff
";Michael J. Fox, Geena Davis, Hugh Laurie;Animation, Aventure, Comedie;
1788;Fanboys;90;2009;"Kyle Newman
";Dan Fogler, Jay Baruchel, Kristen Bell;Aventure, Comedie, Drame;
1789;All the Boys Love Mandy Lane;90;2006;"Jonathan Levine
";Amber Heard, Anson Mount, Whitney Able;Horreur;
1790;Le flic de Beverly Hills;105;1984;"Martin Brest
";Eddie Murphy, Judge Reinhold, John Ashton;Action, Comedie, Crime;
1791;Jack et Julie;91;2011;"Dennis Dugan
";Adam Sandler, Katie Holmes, Al Pacino;Comedie;
1792;Escapade fatale;98;2009;"David Twohy
";Milla Jovovich, Steve Zahn, Timothy Olyphant;Aventure, MystÃ¨re, Thriller;
1793;ChÃ©rie, j'ai rÃ©trÃ©ci les gosses;93;1989;"Joe Johnston
";Rick Moranis, Matt Frewer, Marcia Strassman;Aventure, Comedie, Familliale;
1794;Chiens de paille;110;2011;"Rod Lurie
";James Marsden, Kate Bosworth, Alexander SkarsgÃ¥rd;Thriller;
1795;Dangereuse alliance;101;1996;"Andrew Fleming
";Robin Tunney, Fairuza Balk, Neve Campbell;Drame, Fantastique, Horreur;
1796;EndiablÃ©;93;2000;"Harold Ramis
";Brendan Fraser, Elizabeth Hurley, Frances O'Connor;Comedie, Fantastique, Romantique;
1797;A Serious Man;106;2009;"Ethan Coen
, Joel Coen
";Michael Stuhlbarg, Richard Kind, Sari Lennick;Comedie, Drame;
1798;Bad Ass;90;2012;"Craig Moss
";Danny Trejo, Charles S. Dutton, Ron Perlman;Action, Drame;
1799;Paycheck;119;2003;"John Woo
";Ben Affleck, Aaron Eckhart, Uma Thurman;Action, MystÃ¨re, Science-Fiction;
1800;Groom service;98;1995;"Allison Anders
, Alexandre Rockwell
, Robert Rodriguez
, Quentin Tarantino
";Tim Roth, Amanda De Cadenet, David Proval;Comedie;
1801;Clerks II;97;2006;"Kevin Smith
";Brian O'Halloran, Jeff Anderson, Rosario Dawson;Comedie;
1802;Mission 3D: Spy Kids 3;84;2003;"Robert Rodriguez
";Daryl Sabara, Alexa PenaVega, Antonio Banderas;Action, Aventure, Comedie;
1803;Resident Evil: Extinction;94;2007;"Russell Mulcahy
";Milla Jovovich, Ali Larter, Oded Fehr;Action, Horreur, Science-Fiction;
1804;1984;113;1984;"Michael Radford
";John Hurt, Richard Burton, Suzanna Hamilton;Drame, Romantique, Science-Fiction;
1805;Bodyguard;129;1992;"Mick Jackson
";Kevin Costner, Whitney Houston, Gary Kemp;Drame, Music, Romantique;
1806;L'expÃ©rience;120;2001;"Oliver Hirschbiegel
";Moritz Bleibtreu, Christian Berkel, Oliver Stokowski;Drame, Thriller;
1807;Nuits blanches Ã  Seattle;105;1993;"Nora Ephron
";Tom Hanks, Meg Ryan, Ross Malinger;Comedie, Drame, Romantique;
1808;PhÃ©nomÃ¨nes paranormaux;98;2009;"Olatunde Osunsanmi
";Milla Jovovich, Elias Koteas, Will Patton;MystÃ¨re, Science-Fiction, Thriller;
1809;Ã‰cole paternelle;92;2003;"Steve Carr
";Eddie Murphy, Jeff Garlin, Anjelica Huston;Comedie, Familliale;
1810;Buried;95;2010;"Rodrigo CortÃ©s
";Ryan Reynolds, JosÃ© Luis GarcÃ­a PÃ©rez, Robert Paterson;Drame, MystÃ¨re, Thriller;
1811;Dorian Gray;112;2009;"Oliver Parker
";Ben Barnes, Colin Firth, Rebecca Hall;Drame, Fantastique, Thriller;
1812;Les aventures de Peter Pan;77;1953;"Clyde Geronimi
, Wilfred Jackson
, Hamilton Luske
, Jack Kinney
";Bobby Driscoll, Kathryn Beaumont, Hans Conried;Animation, Aventure, Familliale;
1813;OpÃ©ration Espadon;99;2001;"Dominic Sena
";John Travolta, Hugh Jackman, Halle Berry;Action, Crime, Thriller;
1814;Un pont trop loin;175;1977;"Richard Attenborough
";Sean Connery, Ryan O'Neal, Michael Caine;Drame, Historique, Guerre;
1815;L'orphelinat;105;2007;"J.A. Bayona
";BelÃ©n Rueda, Fernando Cayo, Roger PrÃ­ncep;Drame, MystÃ¨re, Thriller;
1816;The Darkest Hour - En 3D;89;2011;"Chris Gorak
";Emile Hirsch, Olivia Thirlby, Max Minghella;Action, Horreur, Science-Fiction;
1817;Chitty Chitty Bang Bang;144;1968;"Ken Hughes
";Dick Van Dyke, Sally Ann Howes, Lionel Jeffries;Aventure, Comedie, Familliale;
1818;Danny the Dog;103;2005;"Louis Leterrier
";Jet Li, Bob Hoskins, Morgan Freeman;Action, Crime, Drame;
1819;Risky Business;99;1983;"Paul Brickman
";Tom Cruise, Rebecca De Mornay, Joe Pantoliano;Comedie, Crime, Drame;
1820;Crazy kung fu;99;2004;"Stephen Chow
";Stephen Chow, Wah Yuen, Qiu Yuen;Action, Comedie, Crime;
1821;Les indians;107;1989;"David S. Ward
";Tom Berenger, Charlie Sheen, Corbin Bernsen;Comedie, Sport;
1822;Trouble jeu;101;2005;"John Polson
";Robert De Niro, Dakota Fanning, Famke Janssen;Horreur, MystÃ¨re, Thriller;
1823;Une journÃ©e en enfer - Die Hard 3;131;1995;"John McTiernan
";Bruce Willis, Jeremy Irons, Samuel L. Jackson;Action, Crime, Thriller;
1824;Hunger;96;2008;"Steve McQueen
";Stuart Graham, Laine Megaw, Brian Milligan;Biopic, Drame, Historique;
1825;Babylon A.D.;86;2008;"Mathieu Kassovitz
";Vin Diesel, Michelle Yeoh, MÃ©lanie Thierry;Action, Aventure, Science-Fiction;
1826;Trick 'r Treat;82;2007;"Michael Dougherty
";Anna Paquin, Brian Cox, Dylan Baker;Horreur, Thriller;
1827;Le Docteur Jivago;197;1965;"David Lean
";Omar Sharif, Julie Christie, Geraldine Chaplin;Drame, Historique, Romantique;
1828;Martha Marcy May Marlene;102;2011;"Sean Durkin
";Elizabeth Olsen, Sarah Paulson, John Hawkes;Drame, Thriller;
1829;Horton;86;2008;"Jimmy Hayward
, Steve Martino
";Jim Carrey, Steve Carell, Carol Burnett;Animation, Aventure, Comedie;
1830;L'an 1 - Des dÃ©buts difficiles;97;2009;"Harold Ramis
";Jack Black, Michael Cera, Olivia Wilde;Aventure, Comedie;
1831;Elle;122;1979;"Blake Edwards
";Dudley Moore, Bo Derek, Julie Andrews;Comedie, Romantique;
1832;Frida;123;2002;"Julie Taymor
";Salma Hayek, Alfred Molina, Geoffrey Rush;Biopic, Drame, Romantique;
1833;Frankenweenie;87;2012;"Tim Burton
";Winona Ryder, Catherine O'Hara, Martin Short;Animation, Comedie, Familliale;
1834;Clones;89;2009;"Jonathan Mostow
";Bruce Willis, Radha Mitchell, Ving Rhames;Action, Science-Fiction, Thriller;
1835;Cannibal Holocaust;95;1980;"Ruggero Deodato
";Robert Kerman, Francesca Ciardi, Perry Pirkanen;Aventure, Horreur;
1836;Butter;90;2011;"Jim Field Smith
";Jennifer Garner, Yara Shahidi, Ty Burrell;Comedie;
1837;The Ward - L'hÃ´pital de la terreur;89;2010;"John Carpenter
";Amber Heard, Mamie Gummer, Danielle Panabaker;Horreur, Thriller;
1838;James Bond 007 contre Dr. No;110;1962;"Terence Young
";Sean Connery, Ursula Andress, Bernard Lee;Action, Aventure, Crime;
1839;Mariage Ã  la grecque;95;2002;"Joel Zwick
";Nia Vardalos, John Corbett, Michael Constantine;Comedie, Romantique;
1840;La malÃ©diction;110;2006;"John Moore
";Liev Schreiber, Julia Stiles, Seamus Davey-Fitzpatrick;Horreur, MystÃ¨re, Thriller;
1841;Mission to Mars;114;2000;"Brian De Palma
";Tim Robbins, Gary Sinise, Don Cheadle;Aventure, Drame, Science-Fiction;
1842;La famille Jones;96;2009;"Derrick Borte
";Demi Moore, David Duchovny, Amber Heard;Comedie, Drame;
1843;New York Taxi;97;2004;"Tim Story
";Queen Latifah, Jimmy Fallon, Gisele BÃ¼ndchen;Action, Comedie, Crime;
1844;The Invention of Lying;100;2009;"Ricky Gervais
, Matthew Robinson
";Ricky Gervais, Jennifer Garner, Jonah Hill;Comedie, Fantastique, Romantique;
1845;Assault on Wall Street;99;2013;"Uwe Boll
";Dominic Purcell, Erin Karpluk, Edward Furlong;Action, Drame, Thriller;
1846;King Rising, au nom du Roi;127;2007;"Uwe Boll
";Jason Statham, Ron Perlman, Ray Liotta;Action, Aventure, Drame;
1847;Steppin';109;2007;"Sylvain White
";Columbus Short, Meagan Good, Ne-Yo;Drame, Music, Romantique;
1848;Le guerrier silencieux, Valhalla Rising;93;2009;"Nicolas Winding Refn
";Mads Mikkelsen, Maarten Stevenson, Alexander Morton;Aventure, Drame, Fantastique;
1849;The Experiment;96;2010;"Paul Scheuring
";Adrien Brody, Cam Gigandet, Forest Whitaker;Drame, Thriller;
1850;Les rois du patin;93;2007;"Josh Gordon
, Will Speck
";Will Ferrell, Jon Heder, Amy Poehler;Comedie, Sport;
1851;The Expatriate;100;2012;"Philipp StÃ¶lzl
";Aaron Eckhart, Nick Alachiotis, Liana Liberato;Action, Thriller;
1852;Au bout de la nuit;109;2008;"David Ayer
";Keanu Reeves, Forest Whitaker, Hugh Laurie;Action, Crime, Drame;
1853;Glory;122;1989;"Edward Zwick
";Matthew Broderick, Denzel Washington, Cary Elwes;Drame, Historique, Guerre;
1854;Mask;120;1985;"Peter Bogdanovich
";Cher, Eric Stoltz, Sam Elliott;Biopic, Drame;
1855;Confessions d'une accro au shopping;104;2009;"P.J. Hogan
";Isla Fisher, Hugh Dancy, Krysten Ritter;Comedie, Romantique;
1856;L'oeuvre de Dieu, la part du diable;126;1999;"Lasse HallstrÃ¶m
";Tobey Maguire, Charlize Theron, Michael Caine;Drame, Romantique;
1857;Agora;127;2009;"Alejandro AmenÃ¡bar
";Rachel Weisz, Max Minghella, Oscar Isaac;Aventure, Drame, Historique;
1858;Cocktail;104;1988;"Roger Donaldson
";Tom Cruise, Bryan Brown, Elisabeth Shue;Drame, Romantique;
1859;Red Lights;113;2012;"Rodrigo CortÃ©s
";Sigourney Weaver, Robert De Niro, Cillian Murphy;Drame, MystÃ¨re, Thriller;
1860;Un tramway nommÃ© dÃ©sir;122;1951;"Elia Kazan
";Vivien Leigh, Marlon Brando, Kim Hunter;Drame;
1861;Windtalkers - Les messagers du vent;134;2002;"John Woo
";Nicolas Cage, Adam Beach, Peter Stormare;Action, Drame, Guerre;
